ADDRESS,ORGANISATION,AddressLine2,AddressLine3,AddressLine4,LOCALITY_NAME,TOWN_NAME,POSTCODE,UPRN,CLASSIFICATION,TERTIARY_CLASS_DESC,LPI_LOGICAL_STATUS,BLPU_LOGICAL_STATUS,BLPU_STATE_STRING,NON_POSTAL
"257F Clepington Road, DUNDEE, DD3 7UE",,,,257F Clepington Road,,DUNDEE,DD3 7UE,9059085726,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245A Clepington Road, DUNDEE, DD3 7UE",,,,245A Clepington Road,,DUNDEE,DD3 7UE,9059085175,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245C Clepington Road, DUNDEE, DD3 7UE",,,,245C Clepington Road,,DUNDEE,DD3 7UE,9059085591,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245B Clepington Road, DUNDEE, DD3 7UE",,,,245B Clepington Road,,DUNDEE,DD3 7UE,9059085590,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"124B Clepington Road, DUNDEE, DD3 7UD",,,,124B Clepington Road,,DUNDEE,DD3 7UD,9059009975,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"124A Clepington Road, DUNDEE, DD3 7UD",,,,124A Clepington Road,,DUNDEE,DD3 7UD,9059083633,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"124C Clepington Road, DUNDEE, DD3 7UD",,,,124C Clepington Road,,DUNDEE,DD3 7UD,9059009971,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"124D Clepington Road, DUNDEE, DD3 7UD",,,,124D Clepington Road,,DUNDEE,DD3 7UD,9059009973,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245G Clepington Road, DUNDEE, DD3 7UE",,,,245G Clepington Road,,DUNDEE,DD3 7UE,9059085081,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245D Clepington Road, DUNDEE, DD3 7UE",,,,245D Clepington Road,,DUNDEE,DD3 7UE,9059085082,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245F Clepington Road, DUNDEE, DD3 7UE",,,,245F Clepington Road,,DUNDEE,DD3 7UE,9059085084,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"245E Clepington Road, DUNDEE, DD3 7UE",,,,245E Clepington Road,,DUNDEE,DD3 7UE,9059085083,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"116D Clepington Road, DUNDEE, DD3 7SY",,,,116D Clepington Road,,DUNDEE,DD3 7SY,9059085224,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"116C Clepington Road, DUNDEE, DD3 7SY",,,,116C Clepington Road,,DUNDEE,DD3 7SY,9059085225,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"116B Clepington Road, DUNDEE, DD3 7SY",,,,116B Clepington Road,,DUNDEE,DD3 7SY,9059085226,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"116A Clepington Road, DUNDEE, DD3 7SY",,,,116A Clepington Road,,DUNDEE,DD3 7SY,9059085227,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"120B Clepington Road, DUNDEE, DD3 7SY",,,,120B Clepington Road,,DUNDEE,DD3 7SY,9059085555,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"120C Clepington Road, DUNDEE, DD3 7SY",,,,120C Clepington Road,,DUNDEE,DD3 7SY,9059085556,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"120D Clepington Road, DUNDEE, DD3 7SY",,,,120D Clepington Road,,DUNDEE,DD3 7SY,9059085557,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"120A Clepington Road, DUNDEE, DD3 7SY",,,,120A Clepington Road,,DUNDEE,DD3 7SY,9059085552,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"118C Clepington Road, DUNDEE, DD3 7SY",,,,118C Clepington Road,,DUNDEE,DD3 7SY,9059085180,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"118D Clepington Road, DUNDEE, DD3 7SY",,,,118D Clepington Road,,DUNDEE,DD3 7SY,9059085181,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"118B Clepington Road, DUNDEE, DD3 7SY",,,,118B Clepington Road,,DUNDEE,DD3 7SY,9059085182,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"118A Clepington Road, DUNDEE, DD3 7SY",,,,118A Clepington Road,,DUNDEE,DD3 7SY,9059085183,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"221 Clepington Road, DUNDEE, DD3 7SZ",,,,221 Clepington Road,,DUNDEE,DD3 7SZ,9059072696,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"225 Clepington Road, DUNDEE, DD3 7SZ",,,,225 Clepington Road,,DUNDEE,DD3 7SZ,9059035776,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"227 Clepington Road, DUNDEE, DD3 7SZ",,,,227 Clepington Road,,DUNDEE,DD3 7SZ,9059085178,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"229 Clepington Road, DUNDEE, DD3 7SZ",,,,229 Clepington Road,,DUNDEE,DD3 7SZ,9059085374,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"223D Clepington Road, DUNDEE, DD3 7SZ",,,,223D Clepington Road,,DUNDEE,DD3 7SZ,9059095297,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"223E Clepington Road, DUNDEE, DD3 7SZ",,,,223E Clepington Road,,DUNDEE,DD3 7SZ,9059095298,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"223C Clepington Road, DUNDEE, DD3 7SZ",,,,223C Clepington Road,,DUNDEE,DD3 7SZ,9059095296,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"223B Clepington Road, DUNDEE, DD3 7SZ",,,,223B Clepington Road,,DUNDEE,DD3 7SZ,9059095295,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"223A Clepington Road, DUNDEE, DD3 7SZ",,,,223A Clepington Road,,DUNDEE,DD3 7SZ,9059095294,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"Able Roller Shutter Doors Ltd, Unit 1, Balgray Works, Balgray Place, DUNDEE, DD3 8SH",Able Roller Shutter Doors Ltd,Unit 1,Balgray Works,Balgray Place,,DUNDEE,DD3 8SH,9059089484,C,Commercial - Industrial - Workshops and light industrial,Approved preferred,Approved,Constructed,Postal
"Dundee Carpet Cleaning, Unit 2, Balgray Works, Balgray Place, DUNDEE, DD3 8SH",Dundee Carpet Cleaning,Unit 2,Balgray Works,Balgray Place,,DUNDEE,DD3 8SH,9059085597,C,Commercial - Offices  - Offices and work studios,Approved preferred,Approved,Constructed,Postal
"Tele Taxis, Unit 5, Balgray Works, Balgray Place, DUNDEE, DD3 8SH",Tele Taxis,Unit 5,Balgray Works,Balgray Place,,DUNDEE,DD3 8SH,9059075224,C,Commercial - Industrial - Workshops and light industrial,Approved preferred,Approved,Constructed,Postal
"108B Clepington Road, DUNDEE, DD3 7SX",,,,108B Clepington Road,,DUNDEE,DD3 7SX,9059085543,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"108C Clepington Road, DUNDEE, DD3 7SX",,,,108C Clepington Road,,DUNDEE,DD3 7SX,9059085544,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"108D Clepington Road, DUNDEE, DD3 7SX",,,,108D Clepington Road,,DUNDEE,DD3 7SX,9059085545,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"108A Clepington Road, DUNDEE, DD3 7SX",,,,108A Clepington Road,,DUNDEE,DD3 7SX,9059085546,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"110A Clepington Road, DUNDEE, DD3 7SX",,,,110A Clepington Road,,DUNDEE,DD3 7SX,9059085439,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"110B Clepington Road, DUNDEE, DD3 7SX",,,,110B Clepington Road,,DUNDEE,DD3 7SX,9059085436,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"110C Clepington Road, DUNDEE, DD3 7SX",,,,110C Clepington Road,,DUNDEE,DD3 7SX,9059085437,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"110D Clepington Road, DUNDEE, DD3 7SX",,,,110D Clepington Road,,DUNDEE,DD3 7SX,9059085438,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/1, 187 Clepington Road, DUNDEE, DD3 7TA",, G/1,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085261,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2/2, 187 Clepington Road, DUNDEE, DD3 7TA",, 2/2,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085262,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/1, 187 Clepington Road, DUNDEE, DD3 7TA",, 3/1,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085263,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/2, 187 Clepington Road, DUNDEE, DD3 7TA",, 3/2,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085264,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/2, 187 Clepington Road, DUNDEE, DD3 7TA",, G/2,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085265,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/1, 187 Clepington Road, DUNDEE, DD3 7TA",, 1/1,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085266,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/2, 187 Clepington Road, DUNDEE, DD3 7TA",, 1/2,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085267,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2/1, 187 Clepington Road, DUNDEE, DD3 7TA",, 2/1,,187 Clepington Road,,DUNDEE,DD3 7TA,9059085268,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"193 Clepington Road, DUNDEE, DD3 7TA",,,,193 Clepington Road,,DUNDEE,DD3 7TA,9059099359,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"193A Clepington Road, DUNDEE, DD3 7TA",,,,193A Clepington Road,,DUNDEE,DD3 7TA,9059099360,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"G/1, 191 Clepington Road, DUNDEE, DD3 7TA",, G/1,,191 Clepington Road,,DUNDEE,DD3 7TA,9059002232,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
